# N	estimate	estimated_error	actual_error	1/sqrt(N)
100	3.160000000000	1.629233E-001	1.840735E-002	1.000000E-001
500	3.000000000000	7.745967E-002	1.415927E-001	4.472136E-002
1000	3.072000000000	5.339303E-002	6.959265E-002	3.162278E-002
5000	3.120000000000	2.343331E-002	2.159265E-002	1.414214E-002
10000	3.157200000000	1.631223E-002	1.560735E-002	1.000000E-002
50000	3.152240000000	7.310736E-003	1.064735E-002	4.472136E-003
100000	3.143760000000	5.188269E-003	2.167346E-003	3.162278E-003
